product_id,product_name,category,units_sold,revenue,region
P001,Laptop Pro 15,Electronics,1250,1562500,Nord
P002,Wireless Mouse,Electronics,3400,85000,Nord
P003,Standing Desk,Furniture,420,294000,Sud
P004,Ergonomic Chair,Furniture,680,476000,Centro
P005,USB-C Hub,Electronics,2100,105000,Nord
P006,Monitor 4K 27",Electronics,890,534000,Sud
P007,Mechanical Keyboard,Electronics,1540,231000,Centro
P008,Webcam HD,Electronics,1870,93500,Nord
P009,Bookshelf,Furniture,310,46500,Sud
P010,Desk Lamp LED,Furniture,750,37500,Centro
P011,NAS Storage 8TB,Electronics,215,322500,Nord
P012,Conference Phone,Electronics,480,144000,Centro
P013,Whiteboard 120cm,Office Supplies,620,43400,Sud
P014,Printer Laser A4,Electronics,390,156000,Nord
P015,Paper A4 (ream),Office Supplies,4200,21000,Centro
